BookWordCount BookScore BookScoreCount AddListCount Mode Median StandardDeviation Quartile DispersionCoefficient Kurtosis Class
0.97 6.5 795 168 8.00 8.00 2.61 4.00 0.40 176.74 good
0.93 4.8 68 9 6.00 4.00 2.43 4.00 0.51 63.17 bad
0.99 7.8 1641 303 10.00 8.00 2.40 4.00 0.31 478.73 good
0.96 7.0 1100 206 8.00 8.00 2.44 2.00 0.35 304.97 good
0.88 6.4 21 7 8.00 8.00 2.18 4.00 0.33 361.68 bad
0.80 6.9 83 19 8.00 8.00 2.41 2.00 0.35 311.51 bad
0.97 5.5 153 42 8.00 6.00 2.62 4.00 0.47 86.23 bad
0.98 5.4 364 103 6.00 6.00 2.45 4.00 0.46 97.95 bad
0.92 6.7 61 28 6.00 6.00 1.74 2.00 0.26 909.70 bad
0.99 7.0 2356 710 8.00 8.00 2.27 2.00 0.32 402.15 good
0.97 5.1 45 12 2.00 6.00 2.58 4.00 0.51 62.68 good
0.93 5.7 209 50 6.00 6.00 2.58 4.00 0.45 105.28 good
